,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_max_iter,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
125,0.0019759893417358398,0.00010736475714693709,0.0014377832412719727,0.00011477393384626756,3,2,poly,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
238,0.00406031608581543,0.0009008418698438284,0.0033401727676391603,0.0006837741853192348,5,3,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
237,0.0033599376678466798,0.0007844571638464787,0.0026987314224243162,0.0006372072739112246,5,3,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
129,0.0030521392822265626,0.0006543650603145012,0.002338671684265137,0.0005083482139178047,3,3,rbf,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
130,0.004210805892944336,0.0008375014455959151,0.0029972314834594725,0.0005991464590008444,3,3,rbf,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
131,0.003541874885559082,0.0007352775640485929,0.0025730371475219727,0.00032166062059840544,3,3,rbf,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
132,0.004450082778930664,0.0010793218292458225,0.0035896778106689455,0.001501212267510085,3,3,poly,1000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
133,0.005074071884155274,0.0012778376338650726,0.0036449670791625977,0.0013267334669328382,3,3,poly,2000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
122,0.0021291732788085937,0.00015131776405633119,0.0014917373657226563,0.00012285197415928692,3,2,rbf,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
121,0.0020962953567504883,0.00018930390890007192,0.0014664411544799804,0.00011201091854520441,3,2,rbf,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
